Emotion,Statement
guilt,playground playing seesaw little niece wanted stop nobody came help me got off alone seesaw fell big smash niece got hurt eye scar
guilt,collecting letter friend al promised
joy,long time saw boy friend again
anger,quarrelled brother twin home saturday one study private school one repeating form five know doing follow every word teacher book system always try rationalize bad act game satisfied awkward life tried persuade often failed time fight voluntary spirit they polish floor
shame,felt ashamed brazilian live military dictatorship despoiled people military service
shame,whenever late feel ashamed even though one tell anything
joy,began date boy till now month ago
joy,december last year chosen come institution study medical assistant
guilt,visit close friend hospital day later died
anger,boyfriend chatting up another girl
joy,winning queensland chess championship
anger,doctor belogradchik town determined wrong diagnosis son month later complex examination isul a medical institute sofia diagnosis categorically rejected
joy,birth daughter
joy,look people around know people stupid look stupid
sadness,found person went school died car accident
sadness,felt sad boyfriend apart time
joy,told passed exam
joy,party new year s eve met old friend seen time
disgust,felt disgust dirty
disgust,drank much felt rotten morning after
anger,dancing dame social one friend interested came took away me really angry then
shame,caught someone s daughter
shame,getting reference paper
disgust,every time meet certain person cannot get well together dislike other
guilt,could fulfill expectation
fear,practicing wind surf body caught sail trying get leg caught lashing afraid dying asphixia
anger,without employer s knowledge even without communication bank account changed personal account closed
joy,wife gave birth baby boy son date
